Datum,Tijd,Thuisploeg,Uitploeg,Voorspelling,Cycladeskwartiertje
19-jun,20:00,Rusland,Egypte,3 - 1,
20-jun,14:00,Portugal,Marokko,1-0,
20-jun,17:00,Uruguay,Saudi-Arabië,1-0,
20-jun,20:00,Iran,Spanje,0-1,
21-jun,14:00,Denemarken,Australië,1-1,
21-jun,17:00,Frankrijk,Peru,1-0,
21-jun,20:00,Argentinië,Kroatië,0-3,
22-jun,14:00,Brazilië,Costa Rica,2-0,
22-jun,17:00,Nigeria,Ijsland,2-0,
22-jun,20:00,Servië,Zwitserland,1-2,
23-jun,14:00,BELGIË,Tunesië,5-2,
23-jun,17:00,Zuid-Korea,Mexico,1-2,
23-jun,20:00,Duitsland,Zweden,2-1,
24-jun,14:00,Engeland,Panama,6-1,
24-jun,17:00,Japan,Senegal,2-2,
24-jun,20:00,Polen,Colombia,0-3,
25-jun,16:00,Uruguay,Rusland,3-0,
25-jun,16:00,Saudi-Arabië,Egypte,2-1,
25-jun,20:00,Iran,Portugal,1-1,
25-jun,20:00,Spanje,Marokko,2-2,
26-jun,16:00,Denemarken,Frankrijk,0-0,
26-jun,16:00,Australië,Peru,0-2,
26-jun,20:00,Nigeria,Argentinië,1-2,
26-jun,20:00,Ijsland,Kroatië,1-2,
27-jun,16:00,Mexico,Zweden,0-3,
27-jun,16:00,Zuid-Korea,Duitsland,2-0,
27-jun,20:00,Servië,Brazilië,0-2,
27-jun,20:00,Zwitserland,Costa Rica,2-2,
28-jun,16:00,Japan,Polen,0-1,
28-jun,16:00,Senegal,Colombia,0-1,
28-jun,20:00,Panama,Tunesië,1-2,
28-jun,20:00,Engeland,BELGIË,0-1,
