Datum,Tijd,Thuisploeg,Uitploeg,Voorspelling,Cycladeskwartiertje
19-jun,20:00,Rusland,Egypte,0 - 1,
20-jun,14:00,Portugal,Marokko,2 - 0,
20-jun,17:00,Uruguay,Saudi-Arabië,3 - 0,
20-jun,20:00,Iran,Spanje,0 - 4,X
21-jun,14:00,Denemarken,Australië,1 - 0,
21-jun,17:00,Frankrijk,Peru,2 - 0,
21-jun,20:00,Argentinië,Kroatië,2 - 2,X
22-jun,14:00,Brazilië,Costa Rica,3 - 0,X
22-jun,17:00,Nigeria,Ijsland,1 - 1,
22-jun,20:00,Servië,Zwitserland,0 - 1,
23-jun,14:00,BELGIË,Tunesië,1 - 0,X
23-jun,17:00,Zuid-Korea,Mexico,0 - 2,
23-jun,20:00,Duitsland,Zweden,2 - 0,
24-jun,14:00,Engeland,Panama,1 - 0,
24-jun,17:00,Japan,Senegal,1 - 2,
24-jun,20:00,Polen,Colombia,1 - 2,X
25-jun,16:00,Uruguay,Rusland,2 - 0,
25-jun,16:00,Saudi-Arabië,Egypte,0 - 2,
25-jun,20:00,Iran,Portugal,0 - 2,
25-jun,20:00,Spanje,Marokko,2 - 1,
26-jun,16:00,Denemarken,Frankrijk,1 - 2,X
26-jun,16:00,Australië,Peru,0 - 0,
26-jun,20:00,Nigeria,Argentinië,0 - 1,X
26-jun,20:00,Ijsland,Kroatië,1 - 1,
27-jun,16:00,Mexico,Zweden,2 - 0,
27-jun,16:00,Zuid-Korea,Duitsland,0 - 3,
27-jun,20:00,Servië,Brazilië,1 - 2,
27-jun,20:00,Zwitserland,Costa Rica,1 - 0,
28-jun,16:00,Japan,Polen,1 - 1,
28-jun,16:00,Senegal,Colombia,0 - 2,
28-jun,20:00,Panama,Tunesië,0 - 0,
28-jun,20:00,Engeland,BELGIË,0 - 2,
