Datum,Tijd,Thuisploeg,Uitploeg,Voorspelling,Laatstekwartiertje
19-jun,20:00,Rusland,Egypte,5 – 5,X
20-jun,14:00,Portugal,Marokko,8 – 3,
20-jun,17:00,Uruguay,Saudi-Arabië,,
20-jun,20:00,Iran,Spanje,,
21-jun,14:00,Denemarken,Australië,,
21-jun,17:00,Frankrijk,Peru,,
21-jun,20:00,Argentinië,Kroatië,,
22-jun,14:00,Brazilië,Costa Rica,,
22-jun,17:00,Nigeria,Ijsland,,
22-jun,20:00,Servië,Zwitserland,,
23-jun,14:00,BELGIË,Tunesië,,
23-jun,17:00,Zuid-Korea,Mexico,,
23-jun,20:00,Duitsland,Zweden,,
24-jun,14:00,Engeland,Panama,,
24-jun,17:00,Japan,Senegal,,
24-jun,20:00,Polen,Colombia,,
25-jun,16:00,Uruguay,Rusland,,
25-jun,16:00,Saudi-Arabië,Egypte,,
25-jun,20:00,Iran,Portugal,,
25-jun,20:00,Spanje,Marokko,,
26-jun,16:00,Denemarken,Frankrijk,,
26-jun,16:00,Australië,Peru,,
26-jun,20:00,Nigeria,Argentinië,,
26-jun,20:00,Ijsland,Kroatië,,
27-jun,16:00,Mexico,Zweden,,
27-jun,16:00,Zuid-Korea,Duitsland,,
27-jun,20:00,Servië,Brazilië,,
27-jun,20:00,Zwitserland,Costa Rica,,
28-jun,16:00,Japan,Polen,,
28-jun,16:00,Senegal,Colombia,,
28-jun,20:00,Panama,Tunesië,,
28-jun,20:00,Engeland,BELGIË,,
